Open_Interest.t,Mon.t_1_Manager_Longs.t,Mon.t_1_Manager_Shorts.t,Mon.t_1_Manager_Spreads.t,Open_Interest.t_1,Producer_Longs.t_1,Producer_Shorts.t_1,Swap_Dealer_Longs.t_1,Swap_Dealer_Shorts.t_1,Swap_Dealer_Spreads.t_1,Mon.t_1_Manager_Longs.t_1,Mon.t_1_Manager_Shorts.t_1,Mon.t_1_Manager_Spreads.t_1,Other_Reportable_Longs.t_1,Other_Reportable_Shorts.t_1,Other Reportable Spreads.t_1,Total_Reportable_Longs.t_1,Total_Reportable_Shorts.t_1,Non_Reportable_Longs.t_1,Non_Reportable_Shorts.t_1,Oil.t_1,Sugar.t_1,Sugar.t
931647,194135,73060,101594,938238,196175,550976,209592,39252,38008,191541,71038,98422,60425,10090,66999,861163,874785,77075,63453,-1.91,0.303,0.57
1045294,229131,28424,112916,1065849,284718,533634,139972,167590,52993,228651,29470,113888,50069,9704,109122,979413,1016400,86435,49448,-0.42,0.79,0.287
991183,213595,46946,103069,1001008,183792,616524,230811,55607,45524,240729,46151,96833,45083,16002,68208,910982,944851,90026,56157,-0.22,-0.343,-0.147
722203,109504,13234,70154,719854,152031,318874,131527,90672,68669,120515,21625,61464,24965,4355,100003,659174,665661,60680,54193,-4.02,0.53,0.563
1131557,267186,24843,73505,1092191,280037,600350,159492,156384,50944,239184,26497,73764,66659,8726,128492,998571,1045158,93620,47033,-0.443,0.047,0.34
860705,131866,96051,68933,863138,209355,413649,186604,67871,56996,133005,88294,68534,49532,7228,80977,785003,783549,78135,79590,2.52,-0.337,-0.55
1020318,152104,232071,88298,1096516,269015,412645,237063,43799,79901,146441,234581,116132,75831,21510,64775,989159,973343,107357,123173,3.063,0.373,0.26
1139444,198861,4452,93503,1091083,249919,477956,126052,144695,121075,191666,4224,92397,24940,6526,186829,992879,1033702,98203,57380,4.247,0.89,2.523
1001008,240729,46151,96833,1013171,188788,630304,229374,57781,47007,245815,45368,102516,45176,14235,64034,922710,961246,90460,51925,-4.593,-0.22,-0.343
1170963,183479,157105,154967,1169175,337524,544116,176233,55074,43078,188747,172581,156059,40803,9601,133858,1076301,1114366,92874,54809,0.12,0.123,0.067
1049772,211853,28181,103353,1033296,313178,483570,129910,172493,40301,194592,39203,99553,39616,14282,131104,948253,980505,85043,52790,-1.313,0.227,-0.867
1289638,259389,9790,114706,1224430,285638,734549,153726,70047,47202,250469,13346,111357,79391,11636,187735,1115518,1175872,108912,48558,-1.853,0.323,-0.067
1169175,188747,172581,156059,1207617,359170,542357,178571,55801,50029,177910,193349,155513,44511,8490,144474,1110178,1150013,97439,57604,1.693,-0.16,0.123
1031751,156786,194544,117119,1016071,251162,448159,209543,34289,54902,157773,183399,111781,70236,19987,72316,927713,924833,88358,91238,-4.73,-0.333,-0.557
1246909,223920,33839,101168,1234789,384129,665470,167144,175547,50067,221378,33185,101279,57728,9324,156281,1138007,1191154,96782,43634,-0.563,-0.13,-0.54
847592,144787,3702,54946,813714,139127,383129,142482,79789,64410,144497,18000,51706,31639,5200,148899,722760,751133,90954,62581,-1.13,2.41,-0.957
1099448,142958,63429,86962,1099047,396196,589392,181572,126752,41173,140931,62413,83693,52920,8727,127088,1023573,1039238,75474,59809,1.457,0.343,0.267
1023380,180301,104415,147826,1003282,221100,546980,203199,41779,44884,187060,84943,124225,70583,12040,69263,920314,924114,82967,79168,1.543,-0.273,0.137
1172924,164167,283126,170062,1102603,263159,404990,201757,30412,59189,178371,258310,156636,68174,27843,91490,1018776,1028870,83827,73733,0.393,-0.503,0.313
1030895,130287,115589,37882,1024234,301515,604880,256209,41380,23880,129668,98803,34132,38252,15542,140846,924503,959464,99731,64770,6.657,-0.093,-0.06
894433,137832,124911,68758,876028,255387,435146,193418,58514,45848,144728,119232,64145,37691,7852,64872,806089,795609,69939,80418,1.317,-0.673,-0.037
1140445,143053,289711,155729,1110515,275821,384568,230972,21805,43212,141944,298044,147326,85956,29594,103848,1029079,1028397,81437,82118,1.83,-0.09,-0.12
769869,127543,30721,45078,854752,181600,363268,157358,122084,61843,132738,20602,61492,36698,6879,147187,778917,783357,75834,71395,1.433,-1.557,0.56
970670,122576,31192,81280,965727,257710,449308,158920,50056,91989,111210,33926,77354,13009,13318,184097,894290,900049,71438,65678,-2.363,0.837,0.297
1078305,194205,14859,98594,1037468,211416,522911,144194,88165,94542,205108,12310,91062,23119,3178,169328,938768,981495,98699,55972,6.327,-0.263,0.06
