Open_Interest.t,Mon.t_1_Manager_Longs.t,Mon.t_1_Manager_Shorts.t,Mon.t_1_Manager_Spreads.t,Open_Interest.t_1,Producer_Longs.t_1,Producer_Shorts.t_1,Swap_Dealer_Longs.t_1,Swap_Dealer_Shorts.t_1,Swap_Dealer_Spreads.t_1,Mon.t_1_Manager_Longs.t_1,Mon.t_1_Manager_Shorts.t_1,Mon.t_1_Manager_Spreads.t_1,Other_Reportable_Longs.t_1,Other_Reportable_Shorts.t_1,Other Reportable Spreads.t_1,Total_Reportable_Longs.t_1,Total_Reportable_Shorts.t_1,Non_Reportable_Longs.t_1,Non_Reportable_Shorts.t_1,Oil.t_1,Sugar.t_1,Sugar.t
845478,149208,24124,66198,985537,222444,379435,132394,135668,111607,147222,18043,85387,21661,5175,198936,919652,934252,65886,51285,-0.923,-0.553,-1.223
1235045,132024,345518,163953,1240536,404655,432736,183889,14835,46761,141610,330710,175404,48967,16458,148008,1149295,1164912,91242,75624,3.503,-0.283,0.153
912216,140076,197149,74627,998004,259306,430351,232112,55040,54787,150661,175962,88683,43456,14709,78543,907549,898075,90455,99928,-0.957,-0.06,-0.05
886498,138711,19223,80740,965069,251390,463114,118685,55536,89612,135164,21506,84972,15865,5776,174697,870384,895212,94685,69857,-4.457,-0.21,-0.137
968675,185333,11373,82220,929344,197502,479544,140953,79357,87485,175970,12541,75020,20521,3387,139960,837412,877294,91933,52050,4.343,0.613,0.147
973942,202093,86513,140346,973414,195125,550010,202342,32214,31971,227370,73501,127915,49761,20999,65775,900259,902385,73155,71029,-1.913,-0.027,-0.457
962637,126845,263100,100688,958093,249463,371512,222506,17229,33012,127198,254776,99187,65671,23429,81577,878614,880722,79478,77371,1.097,-0.387,0.727
1098593,109331,150159,112799,1074232,349612,500591,186783,40034,54911,101091,141530,101272,43910,17995,145015,982593,1001349,91639,72883,0.42,0.077,-0.12
982386,230494,51843,89069,975759,185158,594415,235553,62636,37187,212694,60154,96190,60678,9818,55198,882658,915598,93101,60162,-1.913,0.06,0.61
1167652,282979,28423,73787,1131557,286951,628292,162693,164809,50134,267186,24843,73505,62023,11089,136145,1038637,1088816,92920,42741,1.197,0.34,0.067
1003282,187060,84943,124225,978271,214742,540423,203707,39408,41061,187609,84420,115174,66050,14363,70860,899203,905709,79068,72562,-1.23,0.217,-0.273
948421,146530,199854,87208,992597,257814,411137,236255,40042,45529,142532,225872,99165,66735,20430,53495,901524,895668,91073,96929,-5.47,0.177,-0.207
1187635,284624,56907,119623,1191350,334675,546779,110812,186549,44442,279379,55177,135508,39838,22310,147576,1092231,1138340,99119,53009,1.87,0.463,-0.093
1092191,239184,26497,73764,1100779,336417,647075,161619,145606,45125,227507,24784,70879,57414,7458,117681,1016641,1058608,84137,42171,1.38,0.363,0.047
928162,97969,179161,77449,924583,289678,364793,158243,26151,46071,98467,198187,76806,68817,16475,119332,857414,847815,67169,76768,1.26,0.873,-0.957
936194,127596,10253,64956,942668,203909,375306,116365,107471,89540,126306,11934,67711,26987,3687,234956,865774,890605,76894,52063,2.803,0.043,0.693
1004674,217031,31767,97778,1009888,260320,477331,135715,180648,38176,223144,28979,98509,38234,16268,120415,914513,960325,95375,49564,4.687,-0.327,-0.357
1012053,121524,94919,93858,1156264,382141,604090,165376,37222,52216,120529,86542,132004,65603,14969,156495,1074365,1083538,81899,72726,1.187,-0.15,0.697
1206727,290856,27806,73941,1167652,299465,648399,165013,171023,50722,282979,28423,73787,60037,11065,139866,1071869,1123285,95782,44367,-1.837,0.067,-0.207
952629,173310,205630,91049,1085674,277460,454346,207658,27194,57719,185973,217846,133312,59976,19125,93430,1015528,1002974,70146,82700,1.9,-1.047,-0.13
851811,129283,93203,71890,936600,270212,419798,171077,68621,55678,130498,96209,88357,44592,10345,107165,867579,846173,69021,90427,0.743,0.847,-0.667
1140328,200006,51177,135431,1149702,332886,495428,111069,163401,64534,219274,51023,131725,43508,31559,160720,1063718,1098390,85985,51312,1.46,-0.853,0.303
812937,133583,87212,74672,851811,247676,419839,175604,67169,44889,129283,93203,71890,43367,7178,68117,780826,772284,70985,79527,-4.583,-0.667,1.477
1064647,249670,28383,108739,1051640,264388,515881,131090,170913,38931,252504,29995,108223,37631,15038,127544,960311,1006525,91328,45114,1.387,0.257,-0.91
1176147,150577,302778,128115,1184772,398766,410921,167122,21061,57859,140232,316178,151509,44929,14388,128158,1088575,1100074,96197,84698,-5.707,0.523,0.17
1217462,235314,33801,93979,1200726,337015,629202,174451,174399,67550,226812,36016,94923,57750,9404,141508,1100010,1153003,100716,47723,0.983,0.443,0.853
777807,67428,40528,35548,761757,253395,417168,141767,30355,18820,64337,50688,29884,32660,3246,131109,671972,681271,89786,80486,1.657,0.537,-0.107
1194992,109786,97762,88346,1197601,471872,613963,173076,95677,53912,106614,120535,95940,75797,6599,144278,1121490,1130905,76112,66697,2.087,0.827,0.103
957222,113657,49515,69299,979169,215070,522284,254738,47618,72976,130356,41962,66965,13461,9507,156426,909992,917737,69177,61432,-11.413,-1.14,-0.283
1162988,248708,25406,105327,1219612,415739,626756,161955,202351,59929,212431,34196,99885,30049,8846,135567,1115554,1167528,104058,52084,2.367,1.223,1.083
965069,135164,21506,84972,976556,262592,455635,119993,49869,98914,126975,25951,85231,14309,9291,184638,892652,909529,83904,67027,-0.96,0.547,-0.21
1065027,227209,55066,124590,1042339,295171,464740,106418,174914,37596,231643,53922,115688,36033,21631,126355,948904,994847,93435,47492,-0.02,-0.163,1.757
705437,94984,48885,44144,703033,167083,257070,132210,87210,54537,96248,47001,44160,19269,9393,125911,639417,625284,63616,77750,1.687,0.033,0.663
945821,144425,236863,121348,925097,228088,375131,204217,18993,36089,147977,210588,100716,34634,21190,93928,845649,856635,79448,68462,2.467,-0.303,1.25
912021,163301,27047,88661,952269,243006,570883,143907,62508,33192,176003,11357,89886,49133,8427,119330,854457,895581,97812,56688,0.063,-1.463,-0.747
759727,126993,36193,44441,756592,166054,325393,146429,93140,57840,133266,45826,42836,35201,7075,111978,693605,684089,62988,72503,2.65,0.143,1.203
1020546,115766,302533,100977,1036927,318155,349287,170021,28425,41057,129789,305936,117603,59474,9868,118572,954671,970749,82256,66179,-0.873,-0.38,0.103
1160204,128695,14947,109794,1159504,291592,466766,155385,147252,128785,131619,11271,110678,20524,4467,243399,1081983,1112619,77520,46885,0.113,1.163,-0.77
870241,130884,5586,56886,893334,214599,416591,136723,123566,73764,128709,6594,57009,41901,5967,155794,808498,839284,84836,54050,7.68,0.183,-1.333
1050420,139725,186589,122919,1051601,337919,450801,184008,36710,50221,124743,199130,110337,35127,9159,119006,961362,975364,90239,76237,1.353,0.1,-0.23
840193,140480,48018,77720,846263,262227,347007,129077,140848,27425,134902,66397,80520,33873,16730,110877,778901,789805,67362,56458,7.52,0.143,-1.353
981698,169788,105048,112500,995359,249341,493975,197084,39703,50318,172209,150391,103710,60237,10896,72455,905353,921446,90007,73914,1.51,0.38,0.283
1161788,198283,52853,70231,1167222,215321,649380,302805,56072,86808,189268,57417,64877,30625,21730,169115,1058819,1105399,108404,61823,-4.85,0.033,0.3
1002345,129400,203116,87570,1104451,326435,483600,203692,36099,44666,125935,208903,105137,92508,22378,119263,1017636,1020045,86814,84405,1.85,-0.69,0.79
1059937,212508,41889,106268,1051847,276651,478825,135305,167780,52118,206305,43416,105422,38732,13991,138713,953245,1000265,98602,51583,-0.89,-0.007,0.3
837868,115559,97994,61203,867633,312715,345613,136862,121971,29004,111321,102734,67255,35337,24603,107588,800082,798768,67550,68864,-6.143,-0.16,-0.303
1154171,211121,35099,116366,1119488,263788,664591,211427,55169,37271,189954,39870,112858,67813,12207,142716,1025829,1064682,93659,54806,2.517,0.233,0.353
781878,171696,31114,27934,838076,198879,407036,145045,91873,66574,153940,30168,35726,28096,8971,132375,760635,772723,77441,65353,-5.79,2.017,0.98
960745,101162,51063,67509,938038,222901,443726,188654,46739,92991,108053,28784,64104,11689,15368,175884,864276,867597,73762,70441,-3.88,-0.443,0.563
807778,89664,81797,34007,823882,300138,456710,182230,41486,14787,81208,77600,35434,18571,6162,103741,736108,735922,87774,87961,3.68,0.37,-0.22
961098,110742,179468,105130,964883,275080,468786,189891,26715,41879,118747,148770,98621,46336,10743,99363,869917,894877,94966,70005,0.973,-0.25,-0.097
888267,116807,120398,39244,873840,295930,449598,190513,53312,13700,109610,120422,37490,34409,10360,111605,793258,796486,80582,77354,-2.113,0.07,-0.543
875942,145083,34486,68349,938749,267000,471873,138574,68160,89921,142957,31429,67316,17626,2491,140847,864241,872037,74508,66712,-3.73,-0.213,0.627
1056996,129131,360,71619,1069152,221522,429682,129563,132380,105100,138199,527,77125,39790,4981,264385,975684,1014181,93469,54972,-3.13,-2.013,-0.917
941763,148322,114957,82262,934280,255232,467985,204860,34854,33739,135008,148365,75007,74943,18413,86192,864981,864555,69299,69726,-0.68,0.873,1.267
853180,138175,23438,72174,886498,238964,449767,119045,54346,86402,138711,19223,80740,16690,6176,114474,795026,811129,91472,75369,4.083,-0.137,-0.06
733492,138750,40466,40267,753555,181674,376568,161512,86940,48213,127838,32126,41766,31711,8560,93498,686212,687672,67343,65883,-1.147,-1.327,-0.323
789907,130110,37129,45863,759727,174842,334661,143914,91774,58025,126993,36193,44441,32947,7837,111492,692654,684424,67073,75304,3.19,1.203,0.697
1146015,150028,267524,112206,1176147,415714,445711,164112,26456,61295,150577,302778,128115,40337,14639,125655,1085805,1104648,90342,71499,-0.117,0.17,0.047
991178,172211,207806,87628,981558,259024,439176,208929,31920,37695,167325,221536,86962,80057,21014,67820,907813,906123,73745,75435,-0.49,0.26,-0.703
1063192,132117,266307,98292,1057235,319128,391142,217027,23031,52570,125854,276717,98776,63165,26334,103150,979670,971721,77565,85515,-1.253,0.05,-0.417
1250389,188623,49782,87390,1251166,258715,734368,331330,64002,80898,195439,38009,81828,29407,19936,174208,1151825,1193249,99341,57917,6.483,1.127,-0.403
981157,148714,201142,105285,988898,285322,459519,179677,34275,48408,154054,183720,91861,47728,12920,92730,899780,923432,89119,65466,-2.247,-0.59,0.167
989799,131477,168916,89649,1002345,286540,460558,204702,31569,35238,129400,203116,87570,93409,22864,82910,919769,923824,82577,78521,1.72,0.79,0.047
1041236,133465,78,71386,1015284,222157,387407,108282,134094,97689,137761,1487,73537,28755,3502,260819,929000,958536,86283,56748,1.91,1.967,-0.963
1130433,191408,25598,119184,1145239,282533,701731,192153,50919,49899,197550,22929,119400,67899,14126,140458,1049891,1099461,95348,45778,1.797,-0.203,-0.203
1084641,148822,292120,139900,1009347,305238,420943,176557,25282,36056,152923,220772,123368,35644,11476,95864,925649,933760,83697,75586,-0.853,-0.053,0.167
1279025,260710,31088,96780,1217462,338274,639680,173815,177952,68624,235314,33801,93979,57824,9863,144680,1112510,1168578,104952,48884,1.863,0.853,-0.523
864059,129440,118943,63923,847751,248590,420610,194519,53382,42156,130651,111696,64010,29717,11946,65346,774990,769147,72762,78605,0.46,-0.577,0.127
978271,187609,84420,115174,977769,205548,576899,202058,43628,41420,206342,64432,105625,60860,12361,72118,893972,916483,83797,61286,1.04,-0.5,0.217
1299681,173156,4312,118420,1283970,338136,537714,132569,160380,140907,179421,12014,102232,21756,6337,262331,1177352,1221914,106618,62056,-0.33,-0.12,0.063
925097,147977,210588,100716,1070771,302710,378203,199359,30279,53594,146063,273248,123054,39126,18441,123861,987767,1000681,83004,70090,0.57,-0.563,-0.303
655530,104387,20925,36425,658083,116554,278285,136330,84000,50507,109644,19221,39812,22453,6073,115514,590813,593412,67270,64671,-8.82,-0.953,1.127
882113,124127,85651,39078,807356,209770,458996,225791,41428,24137,118925,86706,32597,29027,13888,85061,725309,742814,82047,64542,7.047,0.233,0.037
826095,125613,44650,83290,805285,172330,443035,190368,66177,49085,141396,25373,69012,30216,10216,76608,729015,739508,76270,65778,-0.207,-1.04,-0.357
912728,131418,137350,74269,909585,264770,437779,150950,39747,43320,135759,122103,68182,73419,15938,107814,844214,834883,65371,74702,-1.913,-0.04,-0.41
1081953,237780,9438,88265,1093275,225227,648381,138559,88784,42068,263319,5783,84854,82819,21497,161652,998498,1053020,94777,40255,-3.353,-1.493,0.54
899153,137745,30562,90701,879102,183838,335786,131096,105593,96349,135736,39131,82776,21365,4059,143040,794200,806734,84901,72368,-2.203,0.303,-0.647
948145,140517,2455,69556,901073,188572,430206,134772,89388,71839,136679,1598,65942,29095,3740,185550,812448,848262,88625,52811,1.353,2.017,2.363
920099,151642,74543,64971,884550,293385,371898,125651,122717,34380,137107,93033,63360,30780,19948,129551,814213,834885,70336,49664,0.827,0.64,1.087
1009815,131472,236634,93118,963503,249870,395683,202542,35546,42185,131183,230622,88427,99936,23829,69849,883993,886142,79510,77360,-2.43,-0.5,-0.26
1165392,79829,145854,79593,1309864,535857,633194,166892,79623,82674,82984,134163,100050,65378,6568,198092,1231928,1234364,77936,75501,-13.037,-0.23,-0.473
1321425,190817,4773,98356,1313970,328575,493594,129098,200152,141747,191136,3527,117746,21197,19427,279411,1208910,1255604,105060,58366,-4.187,0.25,0.393
936270,107557,50357,63499,947826,227579,456016,213970,34293,83102,108925,49713,62900,10792,17782,176675,883944,880480,63882,67346,-8.683,-0.117,1.543
1154043,138274,14287,105810,1157622,300916,484172,155013,149673,127133,133705,10584,105699,25571,6629,228987,1077023,1112876,80599,44746,-5.233,-0.277,1.853
664127,64477,30009,50387,642302,177863,354791,136439,25450,15007,62335,26504,48290,32726,5086,103380,576040,578508,66262,63794,-3.293,-1.07,-0.697
915965,149765,189462,91491,939572,239237,412990,241397,40711,42224,148202,193760,90590,61359,23043,39830,862839,843148,76734,96424,2.167,0.43,-0.58
886464,119082,154848,87029,870547,256688,368750,184679,32074,39398,106547,179603,86974,54443,20341,77378,806107,804518,64440,66029,0.377,0.55,-0.443
1169954,151080,308561,163386,1209619,327616,393905,202530,22502,72776,153638,306994,181215,49104,25024,130942,1117820,1133357,91799,76262,1.347,0.317,0.57
1085674,185973,217846,133312,1066993,252276,445455,205007,27777,46656,192887,206930,154864,59675,20929,81587,992951,984199,74042,82794,-0.21,-0.727,-1.047
1054511,131206,118265,35601,1034854,309816,558056,252480,42883,25266,129798,133265,38149,37518,17064,146391,939418,961075,95436,73779,-5.52,0.05,0.457
1045123,245469,48595,79875,1047015,280582,501291,126236,155771,36679,249900,47893,71222,32296,31095,145998,942913,989950,104101,57065,-2.453,-0.17,-0.167
1002152,178935,159780,157533,996322,211408,455816,207807,23437,34796,184702,140114,161412,57660,29490,69674,927460,914739,68862,81582,-2.8,-0.383,-0.36
643592,59376,33430,33780,637302,166370,334368,135925,26580,14910,64930,31771,34811,32456,3878,122023,571424,568340,65878,68963,0.31,-0.787,-0.16
982207,150072,204526,94672,1020318,267573,428626,232174,44672,54386,152104,232071,88298,75458,18062,46281,916274,912396,104044,107922,-3.543,0.26,-0.397
1184772,140232,316178,151509,1167140,397429,409753,169880,22168,54110,140021,306744,158197,41170,14859,116501,1077308,1082332,89832,84808,-3.797,-0.057,0.523
976556,126975,25951,85231,981814,263018,457743,122402,52139,102623,126432,23768,83835,14359,12018,186595,899265,918721,82549,63092,-0.903,-0.23,0.547
877415,74268,87465,43592,851850,298180,453955,175922,30035,23822,73216,76834,40720,26195,7425,137027,775082,769818,76768,82031,1.8,-0.193,-0.357
1165724,118666,67181,134715,1164380,346586,677949,169692,41348,48814,158078,39770,142207,63958,14065,149448,1078783,1113601,85597,50779,-1.28,-0.893,0.37
777228,115809,206760,55007,803575,216511,329857,175383,22181,38206,118884,189151,48790,57259,19622,82173,737207,729980,66368,73594,-1.447,0.413,0.117
813510,120897,11134,74587,797861,155393,337905,145689,105181,73781,117813,12081,78040,18641,3766,126178,715534,736931,82328,60930,5.087,0.003,0.087
972778,182854,61027,106159,964089,224071,536961,202190,44137,47619,186999,72561,98592,49356,14084,78282,887110,892235,76980,71854,0.523,0.247,0.117
856178,157385,3444,52894,834192,167226,380448,144234,118512,62240,134344,4214,57143,40465,6646,155677,761328,784879,72863,49313,4.75,1.187,-4.513
1009888,223144,28979,98509,991720,260378,470629,136199,179454,36141,216816,34966,87259,37718,14214,118202,892712,940865,99008,50855,-2.457,-0.173,-0.327
1067069,115541,208235,115836,1057830,343119,442071,181368,27935,53258,114461,214527,113826,43763,9303,114500,964295,975418,93535,82412,0.79,-0.213,0.06
813714,144497,18000,51706,829885,140753,394211,144386,78333,64237,158029,16822,53564,28355,4800,154031,743355,765998,86530,63887,7.19,0.867,2.41
694589,124650,16506,38866,705725,131868,306442,128448,93651,53242,129704,13983,37352,24576,6734,128491,633682,639895,72044,65830,-0.873,-1.293,0.49
1041011,142585,47419,66639,1142849,249638,599840,278963,60517,82751,150045,41425,79387,14396,12282,187611,1042792,1063814,100057,79035,-12.34,-0.12,0.123
844364,146495,4774,56089,847592,135396,389605,141282,87226,70472,144787,3702,54946,34139,4806,166919,747940,777676,99652,69917,3.433,-0.957,-1.16
990825,146702,191180,95417,1050420,318172,455951,180222,39933,45957,139725,186589,122919,36912,11935,114231,958137,977515,92283,72905,0.217,-0.23,0.203
1318432,232854,35671,108279,1302237,400215,691439,167100,190903,67521,243348,36861,105554,53064,8265,151757,1188558,1252300,113679,49937,2.083,0.34,0.327
1074733,175630,190439,156463,1071826,265838,468599,208889,35191,42989,164853,192104,144270,71887,31971,92412,991138,1007535,80689,64291,4.48,0.293,-0.653
1174547,155245,267368,149609,1158347,293427,415059,223829,22699,45642,144894,287150,166962,90153,33903,106636,1071542,1078050,86805,80297,0.84,0.647,0.21
1272515,102336,98746,123397,1316288,450671,709777,191980,72356,47093,176224,108335,146660,55343,8250,163642,1231612,1256113,84676,60176,-7.3,-1.673,0.277
1049261,254887,28192,102909,1101439,319177,560573,129944,178931,42468,252192,26777,107697,37335,13631,121365,1010178,1051443,91261,49996,4.443,0.053,-0.017
908368,71175,98100,46476,877415,307025,455368,177985,31238,24354,74268,87465,43592,25814,7771,139563,792600,789352,84816,88064,1.82,-0.357,0.04
1060192,107478,152228,112288,1073827,341477,456582,186330,45595,47013,105764,176528,129745,43379,17009,127898,981606,1000371,92221,73456,2.273,0.35,-0.183
1148999,277972,10019,88755,1138568,253588,680034,138770,93434,36706,279107,8927,89406,71022,16691,169879,1038478,1095077,100090,43491,3.733,-0.087,0.42
980181,105912,35548,80902,951269,243741,429178,182607,46777,93760,98977,46963,72392,12624,13893,181184,885285,884146,65984,67123,10.153,0.923,-0.76
642302,62335,26504,48290,632610,162574,358413,135609,26997,13434,73393,24329,47730,29050,3879,99291,561081,574073,71530,58538,1.47,-0.86,-1.07
789449,127627,19501,67031,918717,228920,367471,122397,109158,93729,126226,25867,90330,20520,8772,160946,843067,856272,75649,62444,4.843,0.913,-0.03
708389,65062,39642,54641,693224,195367,369762,140865,26355,13635,63038,33269,53793,38242,5159,114727,619668,616701,73557,76524,-1.097,-0.377,0.207
1126297,182744,90434,41856,1083984,283870,620865,265159,44184,29443,153492,96210,41414,40638,21174,155933,969949,1009224,114035,74760,0.323,0.363,0.427
1168954,177948,66258,65758,1296642,335928,705307,304684,55711,94889,169028,67079,82376,27431,25862,195314,1209651,1226539,86991,70103,2.757,1.183,0.397
1101246,261770,15006,85846,1080398,239916,665455,135788,81346,34915,257426,7914,83766,74790,15165,142889,969490,1031450,110908,48948,-3.363,-0.297,1.333
938749,142957,31429,67316,937268,292975,474598,138176,65765,79590,132696,36471,69960,15769,3069,134130,863296,863583,73972,73685,0.503,0.807,-0.213
1156918,158635,227705,136904,1174547,299345,454038,219536,33440,51824,155245,267368,149609,95754,27917,113378,1084693,1097576,89854,76971,-5.577,0.21,-0.383
909911,165890,205555,78040,920619,208671,394292,214892,32874,37937,171554,207734,84154,64486,15935,75431,857125,848356,63494,72263,1.16,-0.36,-0.297
996010,117803,158282,97716,1054695,343130,499528,180172,30533,53580,115967,156494,107311,43174,14862,116784,960119,979091,94577,75604,2.973,0.557,-0.39
1227576,165793,6851,113211,1154043,297430,476669,157122,151748,126780,138274,14287,105810,26426,6830,222659,1074501,1104784,79541,49259,-2.023,1.853,1.403
1078177,282481,41448,97435,1071353,296377,497486,121586,162062,37367,248028,46895,94027,34217,28557,145971,977573,1012365,93780,58989,0.713,0.607,-0.21
805285,141396,25373,69012,804245,171822,454952,186413,72185,46343,149385,19386,65470,32673,9628,76300,728406,744264,75840,59981,5.58,-1.03,-1.04
966314,111687,48190,66872,957222,218592,473124,235052,39911,77642,113657,49515,69299,9585,13581,167096,890922,890169,66299,67053,-10.087,-0.283,-0.4
1001556,97068,232068,89977,977006,314356,370936,156841,27625,59042,92749,210511,85736,71446,14192,127876,908045,895918,68960,81087,0.133,0.32,0.243
814762,91741,98681,36736,805044,250589,436612,193714,48277,15746,90133,83917,34796,25721,4221,112970,723670,736539,81374,68505,5.587,-0.037,-0.317
755125,121143,15196,61895,789449,195790,363986,130442,97119,69195,127627,19501,67031,22781,4186,105264,718129,726282,71319,63167,0.053,-0.03,-0.003
901073,136679,1598,65942,885153,178183,423742,135700,86964,69137,139066,2855,68506,28539,3748,178182,797313,833134,87840,52019,2.987,0.35,2.017
1039651,271108,34881,72705,1098860,282725,543210,139427,195995,47735,266137,28380,73015,36872,17956,137584,983495,1043874,115365,54986,1.873,-0.49,-0.757
1073253,101979,132939,113828,1060192,331047,476760,179221,45945,51937,107478,152228,112288,49890,14876,133324,965185,987357,95007,72835,0.56,-0.183,-0.25
1203234,288357,48345,140882,1065027,312952,477601,104512,170056,40547,227209,55066,124590,33056,19026,128920,971786,1015805,93242,49222,-1.267,1.757,-0.72
682842,117415,19673,35673,694589,130270,298395,127487,87715,53737,124650,16506,38866,24423,8228,126413,625846,629860,68744,64730,4.663,0.49,-1.033
1093942,254469,25722,122629,1045294,264154,515739,140740,171522,52691,229131,28424,112916,49092,9642,110569,959294,1001504,86001,43791,0.237,0.287,-0.693
1134439,135352,297222,133884,1128515,324785,429713,233584,20077,37321,127961,285266,133658,82710,32020,102993,1043012,1041047,85503,87467,1.057,-0.447,0.84
983158,148685,105304,86292,970664,279370,485394,151947,48991,39088,145226,88809,92219,57597,12502,129171,894618,896175,76046,74490,2.627,-1.263,0.423
824704,113222,185395,75192,820409,217965,335050,168510,24558,36140,117347,193007,75584,55251,14808,79399,750198,758547,70210,61862,2.853,-0.057,0.327
999342,177401,77456,116484,981698,226092,512560,197925,40370,51916,169788,105048,112500,55552,8935,79440,893212,910769,88486,70930,-3.083,0.283,-0.767
1098860,266137,28380,73015,1016384,273848,481398,139717,180228,47707,215155,32675,80336,34011,19369,118474,909247,960187,107137,56197,-0.68,0.66,-0.49
946775,126278,232980,96305,962637,245365,353001,227046,17027,34535,126845,263100,100688,64576,29217,84899,883954,882465,78683,80172,-0.443,0.727,-0.77
971300,114702,228136,90821,960961,317931,398435,152257,32928,40048,118571,209123,91832,70450,11315,97802,888891,881484,72070,79477,0.983,-0.897,1.327
878285,131167,71830,96532,844913,208365,417835,194662,55940,50400,119051,64118,87054,29821,11309,76235,765589,762891,79324,82023,-0.257,0.26,-0.653
950044,129861,82998,41594,882113,229897,501719,229182,42097,22734,124127,85651,39078,31377,16928,111712,788107,819919,94007,62194,-2.123,0.037,-0.06
968907,190686,54141,101282,991183,191762,599862,231515,48601,47114,213595,46946,103069,47233,15844,70112,904400,931548,86784,59635,0.347,-0.147,-0.233
1107831,257085,65053,146874,1128553,270550,483447,117020,167869,42532,269542,68638,144966,39222,24039,143187,1027019,1074677,101534,53876,-1.873,0.107,0.523
963503,131183,230622,88427,963188,265172,456369,200829,38310,37035,149918,187013,83100,83480,22656,62875,882409,887357,80779,75831,1.547,-0.407,-0.5
822825,136697,9988,53572,856178,159297,393448,144137,126695,59365,157385,3444,52894,41986,8045,158996,774060,802886,82119,53292,-7.903,-4.513,1.593
1270677,179091,3857,120800,1227576,296249,515013,155126,159485,130495,165793,6851,113211,24750,7340,240911,1126535,1173306,101041,54270,2.63,1.403,0.03
909961,136453,125441,96664,910872,219552,372299,204506,35110,35813,133845,180058,93728,42294,21817,108624,838362,847450,72510,63422,-3.013,0.247,0.547
851850,73216,76834,40720,830722,285985,436864,173043,32340,21866,68632,73769,37399,25616,7450,139404,751945,749093,78777,81629,3.907,-0.1,-0.193
972001,150164,215411,98881,915965,208582,391302,241239,43216,44711,149765,189462,91491,61750,19600,41449,838986,821232,76979,94734,-1.357,-0.58,-0.18
936600,130498,96209,88357,968739,265952,416361,170544,64394,63310,133660,103219,102006,48912,9962,113025,897409,872278,71329,96461,-0.953,0.79,0.847
1038618,164919,18210,114226,1077339,290540,577344,139165,63954,63439,174150,14330,112503,49850,16454,173104,1002751,1021129,74588,56211,-0.67,-0.24,0.24
677465,103033,35008,39357,682842,134886,289671,128432,91841,50932,117415,19673,35673,23729,7155,115320,606388,610265,76453,72577,2.67,-1.033,-1.19
979920,170038,222829,82178,966354,242337,427005,227665,28170,34939,161047,221660,83459,78753,21134,70391,898592,886758,67761,79596,0.69,0.433,-0.433
1291206,233289,52651,70556,1492736,345554,838172,312167,66484,64622,211840,56602,112260,39428,26073,236831,1322703,1401045,170033,91691,4.387,0.507,1.263
938038,108053,28784,64104,933085,216996,443138,195065,45574,88773,106935,33190,63694,10397,13022,178925,860786,866316,72299,66769,-3.587,0.113,-0.443
1017632,128695,1349,72904,1022317,222056,402028,123581,128882,101162,127950,2342,70724,32380,3430,259060,936914,967628,85403,54689,-4.507,0.217,1.847
1234601,274242,28554,81774,1212101,324418,672720,176332,170685,58842,272454,25898,73073,54775,12667,151229,1111123,1165114,100978,46987,3.65,0.243,0.403
928763,111734,133962,88417,886650,296084,310705,129787,145673,32164,116186,102082,83337,30589,16629,129534,817681,820124,68969,66526,0.25,0.183,0.247
1134700,124032,288233,119717,1113805,321567,399395,220291,21441,60868,125676,284024,116693,68684,25687,116812,1030591,1024920,83213,88885,1.98,-0.413,-0.417
1032516,177470,7408,87484,1026949,220333,456175,142966,124874,101242,171595,6545,94273,21780,4293,179804,931993,967206,94956,59743,5.297,0.083,0.573
703033,96248,47001,44160,677465,148334,270473,127560,87979,50283,103033,35008,39357,23337,6907,121506,613410,611513,64055,65952,-1.197,-1.19,0.033
917924,132544,4879,85291,877084,182868,389535,147283,106983,79736,123906,8091,83946,25398,7955,143852,786989,820097,90095,56987,2.283,1.643,2.37
1069152,138199,527,77125,1017632,224138,403563,123462,130667,97603,128695,1349,72904,33169,3683,253748,933719,963517,83914,54115,5.397,1.847,-2.013
903525,134471,128415,71040,891232,271940,447372,196443,53290,44821,132055,113321,68382,31483,12057,67994,813117,807237,78115,83995,-2.75,-0.403,0.507
924583,98467,198187,76806,921357,285376,353343,157759,25791,45758,97866,209916,73322,70645,16488,121503,852228,846120,69129,75236,1.45,-0.12,0.873
886607,161775,31108,78583,844244,188187,437787,175482,69988,61938,136850,32542,79621,27560,8713,87899,757538,778488,86707,65757,-1.153,1.31,-1.073
671225,61497,29970,52684,664127,188488,364535,137906,25209,14951,64477,30009,50387,33483,6114,105128,594820,596333,69307,67794,-0.933,-0.697,-0.107
1029086,149739,18931,71426,994986,293167,392796,130360,187137,110821,139635,19263,59730,22804,3286,170390,926907,943423,68079,51563,0.11,-1.677,-1.277
661406,63360,35760,34518,643592,177115,341876,136560,27528,15723,59376,33430,33780,35876,4527,120206,578635,577069,64957,66523,-0.47,-0.16,0.053
686189,60552,33306,32102,677284,198054,366331,136886,28966,16497,63193,37474,31889,32611,5301,125203,604333,611661,72951,65623,-0.437,0.04,-0.177
995968,169184,87536,104065,967272,221460,457676,203253,56700,34310,158782,95267,95923,38774,34389,131072,883575,905337,83696,61935,-0.3,-0.487,-0.347
1124471,245053,32860,89471,1095900,230853,679295,160579,51065,42473,248819,32865,82090,78363,10052,149465,992643,1047304,103257,48596,0.123,-0.137,0.687
